待ちに待った最終回。どうなるんやら…,等了又等的最终回。会变成怎么样呢…
これが出来るのなら「みいちゃんと山田さん」もアニメ化頼む,如果这个都能做的话，也求把《小美和山田同学》动画化
タコピー職人鬼すげえええ！！！,小章鱼职人太牛逼了啊啊啊！！！
タコピーが囚人になってる,小章鱼变成囚犯了
うぽ🐙,Up🐙
遂に最終回ですか…,终于最终回了吗…
スルメと言うがまた見ろといえば辛い,虽说是鱿鱼干，但要再看一遍还是很难受
尺これで足りるんか？？,这时长够吗？？
職人乙,职人辛苦了
可愛いタコピーに癒やされる優しい土曜日をありがとうございました！　こんな小学生生活を送りたかったです！！,谢谢你让我度过一个被可爱的小章鱼治愈的温柔星期六！ 好想过这样的小学生活啊！！
職人！？,职人！？
サムネこれでええんか…？,封面是这个真的好吗…？
職人SUGEEEE,职人SUGEEEE
夏休みのみんな、観てる…？,放暑假的各位，在看吗…？
早くも最終回きたー!,这么快就最终回了啊—!
本屋店頭にR18+アニメの原作が並んでるとなんとも言えない気持ちになる,在书店看到R18+动画的原作摆在那，心情真是难以言喻
タッセルの重要性が分かるアニメ,能明白流苏（tassel）重要性的动画
ゲーセン先見ニキは鋼メンタルなんか？,先看游戏厅的大哥是钢铁心脏吗？
しねたこ！,去死吧章鱼！
結局最後までタッセル分かんなかったっぴ,结果到最后也没搞懂流苏（tassel）是什么pi
開始早々喧嘩かぁ…,一开始就吵架吗…
↓なんでお前をニコらなあかんねん,↓为啥非得给你点赞啊
名作,名作
覇権アニメ最終回,霸权动画最终回
ノーベル文学賞も射程,诺贝尔文学奖也指日可待
初手職人草,开局就是职人草
ラスボス戦来るぞ、、、,最终Boss战要来了哦、、、
見るたびに泣いちゃう,每次看都会哭
これで最後だ…❗️,这是最后了…❗️
バーン様「ハドラー・・・信じてよいのだな？」,巴恩大人「哈德拉・・・我可以相信你吧？」
ようやくこの地獄から解放される…,终于能从这个地狱里解放了…
めいさく,名作
最終回だし10万コメント行きたい,毕竟是最终回了想冲到10万评论
ラストｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!,Lastｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
最後には「ほらね」と納得させてくれるんだろうか,最后会用一句「你看吧」让我信服吗
うぽうぽ,UpUp
今週もきちゃった,这周也来了
クソエンドを絶賛するクソ共を眺めにきた,来看那些对烂尾结局赞不绝口的傻逼们了
お待ちしておりました,恭候多时了
そもさん！　　　　　　せっぱ！,そもさん！　　　　　　せっぱ！
ゲーセンの10倍の再生数とかすご,是游戏厅10倍的播放量，好厉害
みんな仲良しダッピギ！！,大家都是好朋友pi！！
パパとママ仲良しだっピね,爸爸和妈妈关系真好pi呢
ついに最終回か…,终于最终回了吗…
乳首にタッセルつけろ,在乳头上装上流苏（tassel）
アニオリきた,动画原创来了
個人的歴代TOP10に入ったかもしれん,可能进我个人历史TOP10了
やってやるっピッ,我要上了pi
ここ八掛六十四掌,这里是八卦六十四掌
来た,来了
ここホタルノニッキ,这里是萤火虫日记
しかし密度下げたくねえ…全部ねっとりアニメ化してえ……で全6話にして放送するの作る側の執念が怖いよ,但是又不想降低密度…想把全部都细致地动画化……结果做成6集来播，制作方的执念太可怕了
だれこの後ろのやつ,后面这家伙谁啊
パパが一方的に詰められてるのかこれ,这是爸爸在被单方面质问吗
きたー！！！,来啦—！！！
タコピー鬼つえぇぇぇ！！！,小章鱼强得像鬼一样啊啊啊！！！
サムネがのっぺり過ぎるっピ！,封面也太平淡了吧pi！
←ニコられればコメ残りやすくなるやろ？,←被点赞的话评论就更容易留下来吧？
「タコピーの原罪 第6話」でタイトル終わってて動画間違えたのかと思った,标题就到「小章鱼的原罪 第6话」就没了，还以为点错视频了
きたーー！！！,来啦——！！！
結局タッセルってなんだんたんだろうな・・・？,结果流苏（tassel）到底是什么东西啊・・・？
「タコピー鬼つええ!」は放送されません,「小章鱼强得像鬼!」是不会播的
夜な夜なワーワー怒鳴り散らす図,夜夜大声叫骂图
最終回！！,最终回！！
演技も付いて完成した作品になったな,加上了演技，变成了完整的作品了呢
もしかして全てのスタートはしずかパパなのでは？,难道说一切的开端是静香爸爸吗？
ママすげぇ怒ってるな,妈妈气得好厉害啊
覚悟はいいか？俺はできてる,做好觉悟了吗？我这边已经做好了
あー自分もアニメオールタイムベストで５本の指に入ったかも,啊—这个可能也进入我个人动画史all time best前五了
最終回〜,最终回～
ﾅｽﾞｪﾐﾃﾙﾝﾃﾞｨｽ!!,ﾅｽﾞｪﾐﾃﾙﾝﾃﾞｨｽ!!
2巻しか無いのは打ち切り漫画ですよねｪww!?♪,只有2卷是腰斩漫画吧ww!?♪
もう最後か、、、,已经最后了吗、、、
ついに終わりか…,终于结束了吗…
いざ終わるとなると寂しいもんだな,真要结束了还挺寂寞的啊
親父昔からあんな感じか,老爸以前就是那个样子的吗
堂々完結！！,堂堂完结！！
クズ父,人渣父亲
感動注意,感动注意
久世家も夫婦喧嘩酷かったんだな,久世家夫妻吵架也很厉害啊
🐙賑やか★,🐙热闹★
いままで有難うお前等,至今为止谢谢了你们这帮家伙
もっと見たいッピ,还想看pi
そんなんよりはっぴぃヱンドをアニメ化すべき。これみたいに皆の心を1話目でへし折ってくれる事請合いやで,比起这个更应该动画化Happy End。保证会像这个一样在第1话就把大家的心都折断
剛史の浮気がばれた日かな？,是刚史出轨暴露的那天吗？
きたっピ,来了pi
これ父親もダメじゃん,这父亲也不行啊
もう皆キン肉マン見ようぜ…,大家还是一起去看筋肉人吧…
この家もしっかり喧嘩してたか,这家人也吵得很凶啊
開幕からキツいな,开幕就这么难顶啊
今回こそハッピーエンドにしてくれ。これ以上は泣く,这次一定要是happy end啊。再这样我要哭了
影見る感じ親父が何かしでかして母親激怒って漢字かな,看影子的感觉是老爸做了什么事让老妈暴怒了吧
にぎやかな家庭,热闹的家庭
タイトルなしか,没标题吗
はじまった,开始了
5話の父親の弱そうな感じ見ると、母親が気性荒かったのかな,看第5话父亲那软弱的样子，是母亲脾气很暴躁吗
困ったら話さず流そうとすりゃ余計怒るわな,一有麻烦就不说话想糊弄过去，这样只会更生气啊
見納めか〜,是最后一次看了吗～
SEKIRO,SEKIRO
サキュ嬢の娘,魅魔嬢的女儿
この右誰？,右边这个是谁？
タッセルってなんだよ！！！,流苏（tassel）到底是啥啊！！！
しずかちゃん3歳には見えないから浮気先に子供がいるってバレたんだな,静香酱看着不像3岁，所以是出轨对象那有孩子的事暴露了吧
きちゃ,来了
きた！,来了！
原作にこんなのあったっけ？,原作里有这段吗？
激アツ,超激烈
優柔不断なオトンにキレてる感じか,是对优柔寡断的老爸发火的感觉吗
こん,晚上好
前回のあらすじ　2016しずかちゃんが二度と苦しまないようになったから2022まりなちゃんもハッピーになったっピ！,前情提要：2016年的静香酱不会再痛苦了，所以2022年的真理奈酱也happy了pi！
右は離婚前のしずかパパ,右边是离婚前的静香爸爸
うぉぉおおおお,喔喔喔喔喔喔
タッセルはあるよ　僕ら1人1人の心の中に…,流苏（tassel）是有的哦 在我们每个人的心里…
最終回か...,最终回吗...
アニメ化で化けたねぇ,动画化之后升华了呢
←再婚相手の連れ子の可能性もある,←也有可能是再婚对象带过来的孩子
しずかがこの年齢の時同棲してて今子供あの年齢…？,静香这个年龄的时候同居，现在孩子那个年龄…？
デキ婚で、最初は養う気満々だったけど途中でやっぱやめたーってされた説ある。,有种说法是奉子成婚，一开始满心想要抚养，但中途又说还是算了。
22分！？,22分钟！？
ついに、最終回,终于，最终回
コメントないと見れないっぴ,没有评论就看不下去pi
こっちでもタッセルが,这边也有流苏（tassedl）
にぎやか！,好热闹！
きちゃー,来啦—
にぎやか？,热闹？
今日も毒親見て鬱になる時間が始まる,今天看毒亲变抑郁的时间又开始了
こっから入れる保険があるんですか！？,现在还有能入的保险吗！？
いやーーーん,不要啊——
浮気相手を孕ませたんだよ,是把出轨对象搞怀孕了吧
2週目,二周目
父母が一緒に住んでた時代が私にもありました,我也有过父母还住在一起的时代
ニコメ,2楼
ポコピー呼んできて仙豆食わそうぜ,把波克比叫来喂它吃仙豆吧
ラスボス特有の悲しき過去,最终Boss特有的悲伤过去
うぽつ～,Up乙～
奇しくも家庭環境はまりなちゃんと同じである,家庭环境竟然和真理奈酱一样
もう最終回かぁ,已经最终回了啊
アニメ化で化けたというか、アニメ化で原作読み直してよかった、これ周回必要なやつだ,与其说是动画化升华了，不如说动画化后重读了原作真好，这是个需要多周目的作品
この作品なかったらタッセルって聞かずに死ねたな,没有这部作品的话我这辈子可能都听不到流苏（tassel）这个词了
出地獄,出地狱
しずかちゃんが「お星さまに祈ってた頃」かな,是静香酱「向星星许愿的时候」吧
もう最終回なんですか,已经最终回了吗
だからハッピーカメラで元に戻る必要があったっピね,所以才有必要用happy照相机变回去pi呢
障子にメアリー,纸拉门上的Mary
しにがい,死得值
ぺたんこ,平坦
ついに来ちゃったよ,终于来了啊
ちゃんと纏まるのか…？,能好好收尾吗…？
最終回始まった,最终回开始了
ヒゲマン,胡子男
にぎやかで草ｗ,热闹得草w
まりなちゃんと家庭環境が似てるんだよな,和真理奈酱的家庭环境很像啊
しずか(10)、妹(6),静香(10)、妹妹(6)
しずかパパ最毒親説は根強い,静香爸爸最毒亲说根深蒂固
クロードチアリ,Claude Ciari
来ちゃった、、、、,来了、、、
ついに最終回か,终于最终回了吗
最終回か･･･,最终回吗･･･
ブルアカの下江コハル,蔚蓝档案的下江小春
ついに終わりか・・・,终于结束了吗・・・
原作は演出不足すぎるところがあるからアニメで上手く補えた感はある,原作有些地方演出太不足了，感觉动画很好地弥补了
よれよれのシャツ,皱巴巴的衬衫
昔か,是以前吗
←いや別に周回はいらんよこれ特に伏線とかないから,←不，这个不需要多周目，因为没什么特别的伏笔
タコピー🐙❤,小章鱼🐙❤
ほんの少しの描写補完がことごとく神がかっている,一点点的描写补充全都神了
きちゃった,来了
離婚前からこんな服かよ…,离婚前就穿这种衣服吗…
昔の家,以前的家
(´◉ω◉｀),(´◉ω◉｀)
何度も読み返したいって意味だよ,是想反复重读的意思啦
最終回だよ最終回‼️‼️あぁおおおうあああ‼️‼️,最终回啊最终回‼️‼️啊啊哦哦哦呜啊啊啊‼️‼️
ありとあらゆるトラウマは子供の時に植えつけられる,所有一切的心理阴影都是在孩童时期种下的
両親が喧嘩してる家庭かぁ……,父母吵架的家庭啊……
本物のタコピーじゃん,是真正的小章鱼啊
匂い嗅ぎたい,想闻味道
火垂るの墓と同じ、一度見たらあまり見返したくない作品。,和萤火虫之墓一样，是看过一次就不太想重看的作品。
開幕アニオリやんけ,开幕就是动画原创嘛
ミチチャッピー,Michichappy
再婚後の子供は普通の服着てたから、母親が色々悪かったんだろうな,再婚后的孩子穿着普通的衣服，所以是母亲各种不好吧
最終話かー、、,最终话啊—、、
親の言い争いの中身はわからなくても喧嘩してるの見てるだけで気持ちは沈むよね,就算听不懂父母争吵的内容，光是看着他们吵架心情也会低落呢
タッセル！タッセル！,流苏（tassel）！流苏（tassel）！
prpr,prpr
「ほらね」の時間だオラァ！,「你看吧」的时间到了哦啦！
ニコ生見てから来ました,看完Nico生放送来的
こんにちわっピ,你好pi
こっちもタッセルは草,这边也是流苏（tassel）草
この時すでに妹生まれてない？,这时候妹妹不是已经出生了吗？
きたあ,来了啊
う、う,呜、呜
子供に醜い夫婦げんか見せるのはダメだよなぁ,给孩子看丑陋的夫妻吵架是不行的啊
魔性の親子,魔性的母女
ママはようやっとる,妈妈已经很努力了
開幕アニオリで辛い描写盛られてて泣いた,开幕就是动画原创，加了难受的描写，看哭了
きちゃった...,来了...
アニマルセラピーだったんだね,是动物疗法呢
ついに最終回かあ,终于最终回了啊
チャッピーの安心感すごい,恰比的安心感好强
ちっちゃっピー,小小pi
相変わらず優しげな音楽と会ってない,和一如既往温柔的音乐不搭
死にたい、と思ったとき。傍らにチャッピーはいたんだッピね,在想死的时候。恰比就在身边pi呢
チャッピーかわいい癒し,恰比好可爱，治愈
うぷつ,Up乙
チャッピー小さいからかなり前のことなんだろうな,恰比还很小，是很久以前的事了吧
もう最終回か…,已经最终回了吗…
ボーダーコリー,边境牧羊犬
チャッピー（子犬のすがた）,恰比（小狗的样子）
最初から怖いのやめぇ,别从一开始就这么吓人啊
作画班の犬好きが感じられるだけに人の心ないんか,正因为能感受到作画班喜欢狗，所以（制作组）才没有心吗
かわいい犬,可爱的狗
ちっちゃいチャッピーかわよ,小小的恰比好可爱哦
無垢な動物になりてェ,好想变成纯洁的动物啊
おちびチャッピー,小不点恰比
感動話,感动的故事
このアニメのおかげでタッセルについて詳しくなりました,多亏了这部动画，我对流苏（tassel）了解得更多了
ニコニコ三大原罪キャラ：タコピー　まこぴー　ここぴー,Niconico三大原罪角色：Takopi、Makopi、Kokopi
ちっちゃッピー かわよ,小小pi 好可爱哦
かわいいわん,好可爱汪
仔チャッピーかわよ,小恰比好可爱哦
ぺろぺろ,prpr
まだ小さい頃,还很小的时候
小さいチャッピーかわええ,小小的恰比好可爱
やっと終わる,终于要结束了
いい顔だ,表情不错
タコピーも幸せになってほしい。。,也希望小章鱼能幸福。。
ハッピーエンドへ,走向Happy End
久しぶりだね、,好久不见呢，
終わりか,结束了吗
こんなちっこい毛玉が直にデカドッグとなり、保健所に行くなんて驚きだッピ,这么小的毛球一下子就变成大狗，还被送到保健所，真让人惊讶pi
ほらねの強者感えぐい,「你看吧」的强者感太强了
子犬チャッピーかわョ,小狗恰比好可爱哟
にぎやかっぴねー,好热闹pi呢—
チャッピーだけが心の支えだったんやなって,恰比是唯一的精神支柱啊
犬すき,喜欢狗
アニマルゾンビ,动物僵尸
かわいいねぇ〜〜〜,好可爱啊～～～
これいつの話だ,这是什么时候的事
おっきくなったんだなぁ,长大了啊
両親の喧嘩ほど怖いものはない（ｎ敗）,没有比父母吵架更可怕的事了（n败）
こんな優しい犬を保健所送りにしたやつがいるってマジ？,真的有把这么温柔的狗送到保健所的家伙吗？
ちゃっぴー生きてるー,恰比还活着—
まだ小さいときか,还是很小的时候吗
チャピかわ,恰比可爱
まだ小さい,还很小
チャッピーかわいすぎる,恰比太可爱了
しずかパパ明らかに別れる前に子供作ってるよね,静香爸爸明显是在分手前就搞出孩子了吧
チャッピー！！！,恰比！！！
当時はさほど大型犬ではないな,当时还算不上大型犬呢
🐶「夫婦喧嘩は犬も食わないワン！」,🐶「夫妻吵架狗都不理汪！」
こいぬさん,小狗桑
ん？タイトル無いの？,嗯？没有标题吗？
お前らここよく覚えとけよ,你们给我好好记住这里
子犬チャッピーかわよ！！！！！！！,小狗恰比好可爱哦！！！！！！！
ちいさい,好小
チャッピー老犬かと思ったら全然若いヤンケ,还以为恰比是老狗，结果完全很年轻嘛
ありがとう！！！,谢谢！！！
チャッピーこんな小さい頃から一緒にいたらそりゃ病むわ…,恰比从这么小的时候就在一起，那当然会病啊…
幸せな家庭の築き方を学んでいないから、相手は知ってる人じゃないとね,因为没学过如何建立幸福的家庭，所以对象必须是认识的人呢
6話で終われるのも地上波放送じゃないからね,能6话完结也是因为不是地面波播出呢
いきなり保管,突然补充
1時間で1万３千だ、完全に覇権,1小时1万3千，完全是霸权
このノリも最後って訳,这种氛围也是最后一次了
最高すぎ 😭💦,太棒了 😭💦
犬猫をだっこするときはケツを支えてあげてね,抱猫狗的时候要托住屁股哦
タッセルってマジでなんだったんだ…,流苏（tassel）到底是什么啊…
( ; ; ),( ; ; )
有能アニオリ,有能的动画原创
デカい犬って一瞬でデカくなるよなー、お母さんはチャッピーの事を怒ってたのかな？,大狗一瞬间就长大了呢—，妈妈是在对恰比生气吗？
つ、辛ぇ,好、好难受
チャッピーかわよ,恰比可爱哦
←カーテン……カーテンに付けるの……,←窗帘……装在窗帘上的……
♪───Ｏ（≧∇≦）Ｏ────♪きたー,♪───Ｏ（≧∇≦）Ｏ────♪来啦—
あんよかわいい,小脚脚好可爱
チャッピーえどいよ,恰比好色哦
おでこかわよ…,额头好可爱哦…
俺と幸せな家庭を築こう、しずか,和我一起建立幸福的家庭吧，静香
コメがなければパンを食べればいいじゃない,没有评论的话吃面包不就好了吗
チャッピーかわいいね…,恰比好可爱呢…
子犬チャッピーかわいい,小狗恰比好可爱
デコピン,脑瓜崩
チャッピー!,恰比!
連れ子の可能性もあるだろ（ないです）,也有可能是带过来的孩子吧（并不是）
なんだこれっぴ,这是什么pi
こんな小さい頃から一緒に育ったチャッピーの最期がアレかよ･･･,从小一起长大的恰比最后是那个下场吗･･･
こずぴぃかよ,是Kozupi吗
これもう見ちゃったけどコメントが楽しみできた,这个我已经看过了，但很期待评论所以来了
チャッピーちいせぇな,恰比好小啊
おでこかわいい,额头好可爱
映画でした,是电影
もう苦しい,已经很难受了
ちょっと小さめなデコだししずかちゃんもかわいすぎる,稍微有点小的露额头的静香酱也太可爱了
ネタバレするなよ,别剧透啊
こいぬやん,是小狗呀
まだ幸せだった頃？幸せ？,还是幸福的时候？幸福？
チャッピーかわええな,恰比好可爱啊
前髪失敗してる？,刘海剪失败了？
回想か,是回想吗
これアニオリなんか、よく思いついたな…,这是动画原创吗，真亏想得出来啊…
小さい我が子が一人で家出ても何も言わないって…,小小的孩子一个人离家出走什么都不说…
まこぴーは草,Makopi草
足クロス犬かわいい,脚交叉的狗好可爱
ハッピー性奴隷のことかな？,是说Happy性奴隶吗？
★,★
小さいチャッピーもかわいい,小小的恰比也好可爱
この両親の感じだと生まれた時からこの子親からネグレクト受けてそうだな,看这对父母的感觉，这孩子从出生开始就被父母精神虐待了吧
しわしわ光るお空の星よ,一闪一闪亮晶晶
子犬や…,是小狗呀…
チャッピーの功罪,恰比的功与罪
チャッピーが生きてる・・・,恰比还活着・・・
ハッピー星に願っちゃ駄目だ,不能向Happy星许愿
アニメはテレビと袂を分かつべき　そう確信させる作品だった,动画应该和电视分道扬镳，是让人确信这一点的作品
身に覚えの無い星に願い打つ,向着陌生的星星许下愿望
まだやつれていない頃,还没憔悴的时候
いいかわ,好可爱
でこ広いの子供感あっていいね,额头很宽有种小孩子的感觉真好
父親は優しかったんじゃない？だから捨てられ違う家族として幸せなのが余計にきてる,父亲不是很温柔吗？所以被抛弃，作为别的家庭幸福生活才更让人难受
この涙ください（某魔女）,请给我这滴眼泪（某魔女）
子犬やん,是小狗呀
チャッピーかわええ,恰比好可爱
チャッピー可愛い,恰比可爱
タコピー鬼つええええええ,小章鱼强得像鬼一样啊啊啊啊啊啊
アニオリ良すぎるだろ････,动画原创也太好了吧････
もしや数年前から同じ服？？？？　やばいだろ,难道说几年前开始就穿同一件衣服？？？？ 太糟了吧
神様神様チンクルホイ,神啊神啊Chinkuruhoi
ノヴァにお願いするのサ,向Nova许愿哦
犬まだ生きてる頃か,是狗还活着的时候吗
なお父親は・・・,而且父亲他・・・
補導されそう,感觉要被警察带走了
「おいしい給食」（ドラマ・2019〜放送）,「美味的供餐」（电视剧・2019～播出）
ジョット,Giotto
←配信限定なばかりに流行らなかったアニメも多いのにそれはないわ,←明明有很多因为是配信限定而没火起来的动画，你这么说就不对了
マジで心えぐられたアニメ初めてだわ,第一次有动画真的把我的心给挖了
親の作るご飯より「おいしい給食」が出てくる辺り食事の背景が細かいね,比起父母做的饭先想到「美味的供餐」，这块的饮食背景很细致呢
いなくならないお父さんって普段の母親も相当なのでは相手しないとか,希望爸爸不要消失，是不是说平时的妈妈也相当过分，比如不理人什么的
この時はまだ泣けてたのか,这个时候还能哭出来吗
無料はエグいな,免费太厉害了
とりま神秘40振るっピ,总之先加40点神秘pi
給食が美味しくないってのは好みなのか味覚過敏で苦味とかを感じすぎちゃうのか,供餐不好吃是因为喜好呢，还是因为味觉过敏对苦味太敏感呢
いしずかちゃん「まいうー給食」,石冢酱「真好吃—供餐」
おでこたすかる,额头好评
おいしい給食(主演：市原隼人),美味的供餐(主演：市原隼人)
ちっちゃ可愛い,小小的很可爱
←ズベリー、この涙は違うわ,←Zubelly，这个眼泪不对
☆。.:＊・゜,☆。.:＊・゜
おでこかわいい,额头好可爱
最終回！？うせやろ！？,最终回！？骗人的吧！？
単に給食がガチで不味いってのもありそう。特に令和は自治体で本当に差が激しいみたいだから・・・。,也可能单纯是供餐真的很难吃。特别是令和时代，不同地区差距好像真的很大・・・。
星に願いを,向星星许愿
おいしいセミとタコピー,美味的蝉和小章鱼
コメ有りで2周目,开着评论二周目
父親がやっぱりクソっぽい,父亲果然很人渣
10月劇場版4作目公開予定,10月剧场版第4部公开预定
まぢ？,真的？
ワイ,我
しずかパパが一番クソなのは間違いない。,静香爸爸最人渣是没错的。
かわいい❤️,可爱❤️
10万も行かない,到不了10万的
イチジクのタルト・・・カブトムシ・・・,无花果挞・・・独角仙・・・
すでにいじめが起きているのはまりなパパ関係か?,已经开始被欺凌，是和真理奈爸爸有关系吗？
給食がマズいみたいな言い方はNG,说供餐难吃这种话是不行的
イチジクのタルト、カブト虫、ドロローサへの道,无花果挞、独角仙、通往悲伤之路
自前で給食作ってるとこはおいしいよ,自己学校做供餐的地方很好吃哦
チャッピー幼少期,恰比幼年期
螺旋階段,螺旋阶梯
マズイ飯だと思ってタコピーにパンあげてたのか,是以为饭很难吃才给小章鱼面包的吗
ドロローサへの道・・・カブトムシ・・・,通往悲伤之路・・・独角仙・・・
学校にも家にも居場所が無いしずかちゃん一番つれーな,在学校和家里都没有容身之处的静香酱最难受了
おいしい給食（財政破綻）,美味的供餐（财政破产）
カブト虫,独角仙
ちゃっぴーってそんな年寄りじゃないのね,恰比不是那么老啊
この頃からいじめられてたのか…,从这个时候就开始被欺负了吗…
村祭り,村庄祭典
すでにいじめって　母親が水商売してる　父親紐の可能性あるな,已经被欺负了，妈妈在做陪酒，爸爸有可能是小白脸
つまり給食は単にマズくて食えなかった,也就是说，学校供餐只是太难吃，根本吃不下去
プッチいたな,有普奇神父在啊
意地悪のない学校なんてないよ（N敗）,没有欺凌的学校是不存在的哦（N败）
うえしゃまは追い込めば追い込むほどいい演技をする,Ueshama是越被逼到绝境演技越好
※まりな以前からいじめられている,※在真理奈之前就被欺负了
働かなくていい社会,不用工作的社会
ご都合エンドだと思った,还以为是都合主义的结局
怪獣にいい感じにボコられてくれるヒーロー,能被怪兽揍得恰到好处的英雄
