就是这张脸,この顔です
谁来替他换个选曲,誰か選曲変わってあげて
难熬的冬天结束了,つらい冬が終わった
总之(让她笑)目标达成了,ひとまず(笑顔にさせる)目標達成
happy end piko,ハッピーエンドッピー
静香酱的春天来了,しずかちゃんに春が来た
谁来笑一个！！,誰かニコって！！
牙白好痛苦,やばいもう辛い
这么被使用维瓦尔第在地狱里也哭了哦,こんな使用のされ方はヴィヴァルディも地獄で泣いてるぞ
能感受到生命啊这个BGM,命を感じるよなこのBGM
太好了吧？,よかったなぁ？
从静香视角来看是宣告漫长严酷季节结束的福音，所以用这首曲子正合适才过分,しずか視点だと長く厳しい季節の終わりを告げる福音だからこの曲であってるのが酷い
维瓦尔第「别追击了」,ヴィヴァルディ「追い討ちやめろ」
太好了啊,良かったなぁ
嘛算了吧！,まぁええか！
power word,パワーワード
mission clear,ミッションクリア
不是胖杀～是章鱼杀～,ぱんころ〜　じゃないタコ殺〜
那～ICOCA,じゃ～ICOCA
好耶啊啊啊啊,やったああああ
就这样把所有反抗的家伙都杀光吧！,このまま逆らうやつら全員ブッ殺していこうぜ！
是春天啊,春やなぁ
脑子happy☆,頭ハッピー☆
给点救赎吧,救いを
那就行了吧…,ほなええか…
那就行了吧,ほなエエか
别擅自把维瓦尔第打入地狱啊(时隔2集第2次),勝手にヴィヴァルディを地獄に落とすな(2話ぶり2回目)
别用BGM蒙混过去,BGMで誤魔化すな
这样好吗？？,いいのか？？
打扫时间开始了吗？,掃除の時間始まった？
我的春天来了！,我が世の春が来た！
是《花粉少女注意报》里放的BGM呢,花粉少女注意報で流れてたＢＧＭやな
春「喂等一下」,春「ちょ待てよ」
那么逃走吧,じゃあ逃げよっか
走吧♡,イこっか♡
音乐的著作权死后50年就失效了所以safe（）,音楽の著作権は死後50年で切れるからセーフ（）
春天来了www,春が来たｗｗｗ
这BGM要成trauma了,これBGMトラウマになるて
走吧（翻译：就这样把所有反抗的家伙都杀光吧！）,行こっか（訳：このまま逆らうやつ全員ブッ殺していこうぜ！）
实际上对被霸凌的孩子来说是最好的救赎,実際イジメられっ子にとっては最高の救いだよ
那么，走吧(去警察局),じゃあ、いこっか(警察)
去哪里？,何処に？
听到了明快的音乐piko 一定是静香酱遇到了happy的事piko！,明るい音楽が聞こえるッピ きっとしずかちゃんにハッピーな事があったんだッピ！
比起维瓦尔第的「春」斯特拉文斯基的「春之祭」可能更合适吧？第二乐章的标题可是「献祭的仪式」哦？,ヴィヴァルディの「春」よりストラヴィンスキーの「春の祭典」のが合うかもね？第二楽章のタイトル「生贄の儀式」だぜ？
变成叶子之后再说ね,葉っぱに変えてからね
SATSUGAI,SATSUGAI
静香酱太好了啊…,しずかちゃんよかったなぁ…
太纯粹了,純粋すぎるんたま
呜哦—,うおー
去保健所,保健所に
这如果不是梦而是现实的话就给了她相当牙白的成功体验了,これが夢でもなく現実ならかなりヤバい成功体験を与えてしまったな
←“感受到生命”我超懂,←命を感じるめっちゃわかる
开始的是另一种打扫啊,違う掃除が始まっているんだが
太好了piko呢！,よかったっぴね！
每次都因为维瓦尔第笑出来,ヴィヴァルディで毎回笑ってしまう
果然是疯了,やっぱり狂ってる
走吧（警察局）,行こっか（警察署）
春,春
ㄘんㄘん,ㄘんㄘん
她也并非无辜的善,彼女もまた、無辜なる善ではない
我觉得实际上被欺凌的一方就是这种BGM,実際虐められてた側はこういうBGMになると思う
BGM笑了,BGMワロタ
～𝒽𝒶𝓅𝓅𝓎 ℯ𝓃𝒹～,～𝒽𝒶𝓅𝓅𝓎 ℯ𝓃𝒹～
别走！好好埋了再走！,行くな！ちゃんと埋めてけ！
BGM搞错了呢,BGMミスったな
还没发芽哦维瓦尔第,芽吹いてないぞヴィヴァルディ
没有人心的人选的曲,人の心がない奴が選曲
