start_time,japanese_text,chinese_text
0:00:07.40,メンテ？　食べればいいのでは？,维护？ 吃掉不就好了？
0:00:07.41,これ事故だよな,这是事故吧
0:00:07.46,やっと使える,终于能用了
0:00:07.50,まだ使える,还能用
0:00:07.67,まだ使える,还能用
0:00:07.71,まだ使えるはいつから似非ネクロフィリアどものスラングと化したのか,“还能用”是什么时候变成那些伪necrophilia的slang的
0:00:07.86,ゲーセン少女→タコピーで穢れた心を浄化しに来ますた,游戏厅少女→章鱼噼 来净化被玷污的心灵了
0:00:08.09,まだ使える,还能用
0:00:08.28,いきなりかよ,突然就来吗
0:00:08.30,まだ使える,还能用
0:00:08.33,人間は脆いっぴねー,人类很脆弱呢piko—
0:00:08.38,初手地獄絵図,开局地狱绘图
0:00:08.39,終わりっピ・・・？まさか・・・お前これで終わりっピ？,结束了piko・・・？难道・・・你就这样结束了piko？
0:00:08.69,まあいいじゃん,嘛没关系啦
0:00:09.44,へへ、まだあったけぇよ,嘿嘿，还热乎着呢
0:00:10.76,←100%犯罪だよ？,←100%是犯罪哦？
0:00:10.83,かわいい,可爱
0:00:11.25,かわいい,可爱
0:00:11.61,かわいい,可爱
0:00:11.69,かわいい,可爱
0:00:11.80,かわいい,可爱
0:00:11.92,かわいい,可爱
0:00:12.03,かわいい,可爱
0:00:12.08,かわいい,可爱
0:00:12.13,うぽつ,感谢上传
0:00:12.22,かわいい,可爱
0:00:12.39,も の す ご い え が お,非 常 厉 害 的 笑 容
0:00:12.53,かわいい,可爱
0:00:12.59,かわいい,可爱
0:00:12.67,かわいい,可爱
0:00:13.13,天使だ...,是天使啊...
0:00:13.48,かわいい,可爱
0:00:13.89,ここにきて一番の笑顔というのがな…,到这里才露出最棒的笑容啊…
0:00:14.00,かわいい,可爱
0:00:14.02,ほら、これがお前の見たかった笑顔だぞ。喜べよ,看吧，这就是你想看到的笑容哦。高兴吧
0:00:14.03,ここどか食い大好きもちづきさん,这里暴食爱好者望月同学
0:00:14.06,いまならまだ使える,现在的话还能用
0:00:14.07,かわいいなあしずかちゃん（死体から目を逸らしながら）,静香真可爱啊（把视线从尸体上移开）
0:00:14.10,いろんな感情がまざりあった顔,混合了各种感情的脸
0:00:14.23,まだ使える,还能用
0:00:14.31,かわいい,可爱
0:00:14.32,よかったね,太好了呢
0:00:14.32,かわいい（白目）,可爱（翻白眼）
0:00:14.41,そこはありがとうじゃないよね,这里不该说谢谢吧
0:00:14.43,かわいい,可爱
0:00:14.58,そこはありがとうじゃないよね,这里不该说谢谢吧
0:00:14.67,かわいい,可爱
0:00:14.75,よくやった💯,干得好💯
0:00:14.75,タコピーの攻撃力9999[,章鱼噼的攻击力9999[
0:00:15.00,そこはありがとうじゃないよね,这里不该说谢谢吧
0:00:15.49,かわいい,可爱
0:00:15.50,ほらね元通りだよ♪,你看吧变回原样了哦♪
0:00:15.51,初めて役に立った害獣,第一次派上用场的害兽
0:00:15.97,うぽつ,感谢上传
0:00:16.10,かわいい,可爱
0:00:16.26,かわいい,可爱
0:00:16.46,そこはありがとうじゃないよね？,这里不该说谢谢吧？
0:00:16.53,千夏先輩のためなら,为了千夏前辈的话
0:00:16.58,いい笑顔だぁ・・・,好棒的笑容啊・・・
0:00:16.75,お礼が言えてえらい！,能道谢真了不起！
0:00:17.32,ありがとうじゃねえよクズ,才不是谢谢啊人渣
0:00:17.39,いい笑顔だ,真是好笑容
0:00:17.39,！？,！？
0:00:17.67,全米で言われたい言葉NO1：arigato-koroshitekurete!!!,全美最想被说的话NO1：arigato-koroshitekurete!!!
0:00:17.69,よかったね😭,太好了呢😭
0:00:17.75,かわいい,可爱
0:00:17.76,自分を救ってくれた相手にはどんな手段かは関係なくお礼を言う　いい子だね！,对拯救了自己的人，不管用什么手段都会道谢 好孩子呢！
0:00:17.80,かわいい,可爱
0:00:17.83,淫売の娘,淫妇的女儿
0:00:17.89,ここの声でリゼロのエミリアが思い浮かぶ,这里的声线让我想起Re:Zero的艾米莉亚
0:00:17.98,ここから始まるのか・・・,要从这里开始吗…
0:00:18.05,ここ石神村のゲン,这里是石神村的幻
0:00:18.12,守りたい、この笑顔,想要守护，这个笑容
0:00:18.48,守りたいこの笑顔,想要守护这个笑容
0:00:18.62,リゼロはリゼロでもリゼロスのシオンや,Re:Zero是Re:Zero但也是Re:ZeroS的紫苑
0:00:18.69,お前が守った笑顔だぞ喜べよ,这可是你守护的笑容啊高兴吧
0:00:19.05,わかる〜,我懂～
0:00:19.37,まぁそうなるな,嘛会变成这样呢
0:00:19.51,よかったね！,太好了呢！
0:00:19.73,殺してくれてありがとう！って言うの、最高に性悪女ってカンジ,说“谢谢你杀了他！”，感觉真是最棒的坏女人
0:00:20.01,笑った!タコピーの原罪、完!!,笑了!《章鱼噼的原罪》，完!!
0:00:20.08,守りたいこの笑顔,想要守护这个笑容
0:00:20.17,しずかちゃんが幸せになってハッピーエンドだッピか？,只要静香变得幸福就是Happy End了吗pi？
0:00:20.35,イジメられた側は死んでも忘れんからそらそうよ,被欺凌的一方死都不会忘所以理所当然啊
0:00:20.46,まあ地上波じゃ放送できないw,嘛在电视台播不了w
0:00:20.69,困った事があったらなんでも言ってね,有困难的话什么都可以说哦
0:00:21.05,理由はどうあれイジメられれば性悪にもなるわｗ,不管理由如何被欺凌了也会变得心肠坏啊w
0:00:22.10,タコピー鬼つええ！逆らうやつ全員ぶっころそうぜ！,章鱼噼强得像鬼！把所有反抗的家伙都杀光吧！
0:00:22.30,はじまったな,开始了呢
0:00:22.89,嫌がる小３の娘と一緒に観てます,和不愿意看的小学3年级的女儿一起在看
0:00:22.96,正しいのかーい？,这样对吗—？
0:00:23.16,戦争の勝利とは最高の救済,战争的胜利就是最高的救赎
0:00:24.23,殺す（デデン！）,杀了（噔噔！）
0:00:24.64,タコろしや・・・,章鱼杀手…
0:00:24.82,愛してくれて,感谢你爱着我
0:00:24.85,タコピー鬼つえぇ！,章鱼噼强得跟鬼一样！
0:00:25.10,やっぱどう考えてもハム太郎は絶対言わないセリフ,果然怎么想都是哈姆太郎绝对不会说的台词
0:00:25.19,どんどんしずかちゃんの方がやべえってなってくなあ,静香酱越来越牙白了啊
0:00:25.46,（｜）素晴らしい、素晴らしい…,（｜）太棒了、太棒了…
0:00:25.51,コロスっていうらしいナリ〜,好像是叫科洛斯哦～
0:00:25.80,ムッコロス,Mukkorosu
0:00:25.91,自分ならもっと早い段階で自分でやってた,要是我的话会在更早的阶段自己动手
0:00:26.03,だったら、やがて失ういのちのことは、魔法少女と呼ぶべきだよね,既然如此，那终将逝去的生命，就应该叫做魔法少女吧
0:00:26.05,深夜アニメを小3の娘に見せる毒親がいますね…,有给小3女儿看深夜动画的毒父母呢…
0:00:26.10,コロス,科洛斯
0:00:26.19,Kill,Kill
0:00:26.19,音速丸難民って何歳だよ,音速丸难民都多大岁数了啊
0:00:26.25,コロスは殺さない,科洛斯是不会杀人的
0:00:26.48,宇宙人がやったので無実です！,是外星人干的所以无罪！
0:00:26.53,啜る〜〜〜〜〜〜〜〜！！！！！〇ろすぞ〜〜〜〜〜〜〜〜！！！！！,吸溜～～～～～～～！！！！！杀了你哦～～～～～～～！！！！！
0:00:26.82,お前を殺す,杀了你
0:00:26.96,タコピー鬼つええ,章鱼噼强得跟鬼一样
0:00:27.19,←え？さすがにネタだよね？虐待はやめようね？,←诶？さすが是段子吧？不要虐待哦？
0:00:27.26,空と君とのあいだには　今日も冷たい雨が降る　君が笑ってくれるなら　僕は悪にでもなる,天空与你之间 今天也下着冷雨 如果你能为我微笑 我愿化身为恶
0:00:28.14,※ヴィヴァルディ作曲のヴァイオリン協奏曲「四季」より「春」第一楽章です。 生命の躍動が感じられる素晴らしい曲で…2週連続とか他の選曲はなかったっピか？,※这是维瓦尔第的小提琴协奏曲《四季》中的《春》第一乐章。是能感受到生命跃动的绝妙乐曲…但是连续两周都用这个，就没别的选曲了吗pi？
0:00:28.17,「殺す」というらしい→♪春 の流れで草を禁じ得ない,好像是叫「杀」→♪春 的流程忍不住笑了
0:00:28.35,・ε・,・ε・
0:00:28.41,小学校の掃除の時間に流れた曲や…掃除…,是小学打扫时间放的曲子啊…打扫…
0:00:28.44,ビバルディに対する深刻な風評被害,对维瓦尔第的严重风评被害
0:00:28.53,しずかちゃんには死期がある,静香有死期
0:00:28.55,タコピーの原罪ってanoの子供時代の話なの？,《章鱼噼的原罪》是ano童年时候的故事吗？
0:00:28.64,草,草
0:00:28.69,タコピーかわいい、持って帰りたい,章鱼噼好可爱，想带回家
0:00:28.92,空と君とのあいだには　今日も冷たい雨が降る　君が笑ってくれるなら　僕は悪にでもなる,天空与你之间 今天也下着冷雨 如果你能为我微笑 我愿化身为恶
0:00:28.94,※ヴィヴァルディ作曲のヴァイオリン協奏曲「四季」より「春」第一楽章です。 生命の躍動が感じられる素晴らしい曲で…2週連続とか他の選曲はなかったっピか？,※这是维瓦尔第的小提琴协奏曲《四季》中的《春》第一乐章。是能感受到生命跃动的绝妙乐曲…但是连续两周都用这个，就没别的选曲了吗pi？
0:00:29.00,しずかはまりな以下のゴミクズだろホント,静香真是比茉莉奈还不如的垃圾人渣吧
0:00:29.46,自分で殺しておいて客観的にものごとを眺めているようですね,自己杀了人还像是在客观地看待事物呢
0:00:29.92,作曲者が見たら怒りそう,作曲家看了会生气吧
0:00:30.10,ヴィヴァルディ「だからこの状況で流すな💢」,维瓦尔第「所以说别在这种状况下放啊💢」
0:00:30.12,ここでこのBGM選んだセンス良い意味で狂ってる,在这里选这个BGM的sense从好的意义上来说很疯狂
0:00:30.16,唯一ヴィヴァルディが怒った作品,唯一让维瓦尔第生气的作品
0:00:30.17,BGMあってる？,BGM搭吗？
0:00:30.21,ヴィヴァルディ見せてあげたいアニメNo. 1,想给维瓦尔第看的动画No. 1
0:00:30.50,ｲｲﾊﾅｼﾀﾞﾅｰ,真是个好故事啊—
0:00:30.62,ハッピー星に「殺す」という行為が存在しないことが分かる,明白了happy星不存在「杀」这个行为
0:00:30.67,ヴィヴァルディもこんな曲の使われ方したら地獄で泣いてそう,维瓦尔第的曲子被这么用，他本人在地狱里都要哭了吧
0:00:30.87,ヴィヴァルディ「日本人イっちゃってるよ。未来に生きてんな…」,维瓦尔第「日本人疯了啊。活在未来啊…」
0:00:30.98,やっぱり子どもは笑ってなきゃね,孩子果然还是要笑啊
0:00:31.05,あーもう滅茶苦茶だよ,啊—已经乱七八糟了啊
0:00:31.26,ヴィヴァルディ「すいません、ちょっと止めてもらっていいですか!?」,维瓦尔第「不好意思，能稍微停一下吗！？」
0:00:31.35,ハッピーエンドッピー,happy end piko
0:00:31.58,こんな使用のされ方はヴィヴァルディも地獄で泣いてるぞ,这么被使用维瓦尔第在地狱里也哭了哦
0:00:31.62,よかったなぁ？,太好了吧？
0:00:31.73,よかった,太好了
0:00:31.87,よかったね,太好了呢
0:00:32.14,良かったなぁ,太好了啊
0:00:32.18,まぁええか！,嘛算了吧！
0:00:32.22,パワーワード,power word
0:00:32.29,ぱんころ〜　じゃないタコ殺〜,不是胖杀～是章鱼杀～
0:00:32.53,BGMｗ,BGMｗ
0:00:32.53,このまま逆らうやつら全員ブッ殺していこうぜ！,就这样把所有反抗的家伙都杀光吧！
0:00:32.74,ほなええか…,那就行了吧…
0:00:32.82,勝手にヴィヴァルディを地獄に落とすな(2話ぶり2回目),别擅自把维瓦尔第打入地狱啊(时隔2集第2次)
0:00:32.82,ほなエエか,那就行了吧
0:00:33.00,掃除の時間始まった？,打扫时间开始了吗？
0:00:33.21,なお,然后
0:00:33.27,冷たい土の無情さしか感じねえよ,只能感受到冰冷泥土的无情啊
0:00:33.60,春が来たｗｗｗ,春天来了www
0:00:33.79,実際イジメられっ子にとっては最高の救いだよ,实际上对被霸凌的孩子来说是最好的救赎
0:00:33.81,どこへ行こうというのかね？（震え声）,你想到哪里去呢？（颤抖的声音）
0:00:34.00,逝こっか,上路吧
0:00:34.28,鬼つええ！,鬼强！
0:00:34.35,警察に！,去报警！
0:00:34.60,葉っぱに変えてからね,变成叶子之后再说ね
0:00:34.95,保健所に,去保健所
0:00:35.10,😭,😭
0:00:35.28,よかったっぴね！,太好了piko呢！
0:00:35.59,行こっか（警察署）,走吧（警察局）
0:00:35.82,彼女もまた、無辜なる善ではない,她也并非无辜的善
0:00:36.00,～𝒽𝒶𝓅𝓅𝓎 ℯ𝓃𝒹～,～𝒽𝒶𝓅𝓅𝓎 ℯ𝓃𝒹～
0:00:36.03,行くな！ちゃんと埋めてけ！,别走！好好埋了再走！
0:00:36.64,警察に？,去警察局？
0:00:37.46,いやぁいい曲ですねぇ。小学校の給食時に流れたこの曲の思い出がタコピーになりそうですよ？,哎呀真是首好曲子啊。我在小学午餐时间听这首歌的回忆，快要被章鱼噼覆盖了哦？
0:00:37.53,いやぁいい曲ですねぇ。小学校の給食時に流れたこの曲の思い出がタコピーになりそうですよ？,哎呀真是首好曲子啊。我在小学午餐时间听这首歌的回忆，快要被章鱼噼覆盖了哦？
0:00:37.89,春なんですか……？,现在是春天吗……？
0:00:38.07,このタコ,你这章鱼
0:00:38.65,BGM冬行くん？,BGM要转到冬了吗？
0:00:38.68,そもそもチャッピー保健所行きが計画的殺害だったから自業自得だと思う　「狂犬病にならない、傷つかない」て打算が出来るだけの調査した上だろうし,说到底送chappy去保健所就是计划杀人所以是自作自受吧，肯定也是调查过“不会得狂犬病，不会受伤”之后才打的算盘
0:00:39.52,行くってどこに？,说走去哪里？
0:00:40.39,どこへ？！ｗ,去哪儿？！w
0:00:40.67,E.T.,E.T.
0:00:40.92,我が世の春が来たァ！,我的春天来了啊！
0:00:41.14,地獄に,去地狱
0:00:41.32,7日(n00日),7日(n00日)
0:00:41.38,ここえっち,这里h
0:00:41.75,警察行くの？,去警察局吗？
0:00:42.18,おいおい、死体葉っぱにしていけよ,喂喂，把尸体变成叶子再走啊
0:00:42.82,お掃除の時間のBGM,打扫时间的BGM
0:00:44.35,スタートレックかな?,是Star Trek吗?
0:00:44.45,着陸ってより墜落だよな,与其说是着陆不如说是坠落吧
0:00:44.88,ヴィヴァルディさんごめんピ,维瓦尔第先生对不起piko
0:00:45.32,7日間の密度がおかしい,7天里的密度也太奇怪了
0:00:45.53,ミッション達成じゃん！依頼者以外不幸になるけど,mission达成了嘛！虽然委托人以外都不幸了
0:00:45.64,ハッピー星人は地球を惑星に勘定してくれるんですね,Happy星人会把地球算作行星啊
0:00:46.10,👮,👮
0:00:46.59,もし外宇宙で墜落遭難したら、必要に応じてやってしまうだろう,如果在外太空坠机遇难了，根据需要也会这么干吧
0:00:47.38,神は全ての御業を終えられ休まれた,神完成了所有的工作，休息了
0:00:47.59,そういや七日ってキリスト教だと神が世界を創った日数なんだけど、意識した設定だったりするのかな,说起来七天在基督教里是神创造世界的天数，是有意这么设定的吗
0:00:49.93,にんころならこのBGMは合ってた,要是人杀的话这个BGM就对了
0:00:50.17,がんばり物語？,奋斗物语？
0:00:50.36,お前の前で髪の話やめるわ,在你面前不谈头发的话题了
0:00:50.70,とりあえず死体を葉っぱにする忍者連れて来るッピ,总之先带个能把尸体变成叶子的忍者来pi
0:00:51.21,詰みセーブ,死档存档
0:00:51.35,そういや大気圏突入しといてみき,说起来突入大气层还完好无损
0:00:52.40,まあ生きてりゃ死んでほしい人間のひとりやふたりいるもんだぜ,嘛活着的话总会有一两个希望他死的人
0:00:52.47,ほのぼのジュブナイルの始まりだね,温馨juvenile的开始呢
0:00:53.25,何この寄生獣の後藤戦後みたいな感じ,这什么《寄生兽》后藤战后一样的感觉
0:00:53.81,1週間を超えたぜ！！,超过1周了！！
0:00:53.82,ループを止めてやっと前に進めたんやなって…,停止了loop终于能前进了呢…
0:00:54.03,胴長すぎない？,身子是不是太长了？
0:00:54.28,早く葉っぱにしないと…,不快点变成叶子的话…
0:00:54.32,レナの頑張り物語が始まるよ！,礼奈的奋斗物语要开始了哦！
0:00:54.50,君は知るだろう,你将会知道
0:00:54.56,悪は去った！,恶已离去！
0:00:54.70,ここ、タイトルドーン！が無いと怖過ぎるっピ！,这里，没有标题咚！的话太可怕了piko！
0:00:54.71,葉っぱに変えろよ,快把它变成叶子啊
0:00:54.85,お前の始めた物語だろ,这是你开启的故事吧
0:00:55.10,自然な流れで死体遺棄すな,不要那么自然地就弃尸啊
0:00:55.10,放置すなー👆💦,别放置啊—👆💦
0:00:55.32,ここからが本当の地獄だ,从这里开始才是真正的地狱
0:00:55.34,チャッピーに食わすか,给小啾吃吗
0:00:55.39,葉っぱにしろ,变成叶子
0:00:55.52,一枚の宗教画のような神々しいカット,像一幅宗教画一样神圣的cut
0:00:55.57,死体遺棄草,遗弃尸体草
0:00:55.82,腐っているのは地球のお前らでぃすbyタコピー(๑>◡<๑),腐烂的是地球上的你们desu by章鱼噼(๑>◡<๑)
0:00:56.00,大丈夫!あとは虫さんが食べてくれる,没问题!之后虫子会吃掉的
0:00:56.04,埋めるか刻むかしないとさぁ！,不埋了或者剁碎的话！
0:00:56.86,どーすんのこれｗ,这可怎么办啊w
0:00:57.00,にんころOP流れても違和感ない,放人杀的OP也没有违和感
0:00:57.22,さわやかなドアサに見るタコピーの現在は格別,在清爽的周六早上看的《章鱼噼的原罪》别有一番风味
0:00:57.42,リアルライフにリセットボタンは無いぞ,real life里没有reset按钮哦
0:00:57.59,ここから巻き戻せないのか,不能从这里倒带吗
0:00:58.07,これどうなるの・・・,这会变成什么样
0:00:58.52,これ状況的に静ちゃんが加害者か,这状况上静香酱是加害者吗
0:00:58.90,原罪（SATSUGAI）,原罪（SATSUGAI）
0:00:59.68,飛ばす,跳过
0:01:01.64,身に覚えろ,给我记住
0:01:01.85,まりなちゃんはもういないじゃない,真理奈酱不是已经不在了吗
0:01:02.00,ネガい鬱,负面 抑郁
0:01:02.13,身に覚えろ,给我记住
0:01:02.53,メビウス1、交戦。,Mobius 1，交战。
0:01:03.89,詐欺OP,欺诈OP
0:01:04.25,OP詐欺はじまった,OP欺诈开始了
0:01:04.84,OP詐欺とは言うが歌詞相当やべーよ！,虽说是OP欺诈但歌词也相当牙白哦！
0:01:05.34,あのちゃん似合うね,ano酱很合适呢
0:01:07.14,開幕ミサイルぶち込んでる時点で絵柄以外は不穏,开幕就射missile的节点上除了画风都很不稳
0:01:07.37,アバンの時点でそれは言えなくなってるんだよなあ,在前情提要的节点上就不能那么说了啊
0:01:07.70,バツっす！,是罚！
0:01:08.10,これが追放された理由か,这就是被流放的理由吗
0:01:08.54,とばっちり食らった月くんかわいそう,被牵连的月亮君好可怜
0:01:09.62,「宙ぶらりん」ってしずか自身がってことに気づいて震えた,注意到「悬在空中」指的是静香自己，颤抖了
0:01:10.43,んうえいぬkfの原罪,nueinukf的原罪
0:01:10.90,この歌聴いてたらハッピーシュガーライフを思い出す……,听着这首歌想起了happy sugar life……
0:01:13.68,チャッピーと結婚する,我要和chappy结婚
0:01:14.54,メインヒロイン犬,main heroine狗
0:01:14.95,悲報：原作漫画は上下巻で完結,悲报：原作漫画上下卷完结
0:01:15.50,これ絶対,这个绝对
0:01:15.79,あのちゃんの歌声に騙されるけど歌詞は相当エグい,虽然被ano酱的歌声骗了但歌词相当阴间
0:01:16.81,チャッピーはチャ（ットG）P(T)になったから…,因为小啾变成了Cha(t G)P(T)了…
0:01:17.62,チャッピーはもういないじゃない！,小啾已经不在了！
0:01:18.18,チャッピーかわいい,chappy好可爱
0:01:18.21,ハートフルな作品なんやろうなぁ,是heartful的作品吧
0:01:19.14,これ紅白で歌えるんじゃない,这首歌都能上红白了吧
0:01:19.37,いや1話の時点で誤魔化しきれなくなってるやろ…,不，第一集的时候就已经藏不住了吧…
0:01:19.65,まりなは死んだ！もういない！！,茉莉奈死了！已经不在了！！
0:01:20.84,もうチャッピーは,小啾已经
0:01:20.95,退場したキャラが多すぎないか・・・？,退场的角色是不是太多了・・・？
0:01:21.76,なるたる思い出すな,想起《星星公主》了啊
0:01:23.25,おまころ,你杀的
0:01:23.71,ぶったたいておいて何で君はしんじゃうのって言えるのやっぱタコピー鬼つええわ,揍了人还能说出为什么你会死掉，章鱼噼果然强得像鬼
0:01:24.60,きみが強く触ったからだよ,因为你碰得太用力了哦
0:01:24.73,アウラ、強く触ってやる,奥拉，用力碰你哦
0:01:24.82,もうすでにOPのメインキャラが一人と一匹消えてるんですけど,OP的主要角色已经消失了一个人和一只了
0:01:26.35,「地球が持たん時が来ているのだ！」,「地球撑不住的时刻要来了！」
0:01:28.12,今さら作り置きのパンケーキに気付いたわ 環境が悪いわけでもないのに毒親してる東の母親が一番キツイ,现在才发现是提前做好的煎饼啊，明明环境也不差，东的妈妈却是个毒亲，这点最难受了
0:01:30.42,でも、小学生で処分の発想出ないかもなぁ。,但是，小学生可能不会有处理掉的想法吧。
0:01:30.93,なんでってお前,问为什么就是你啊
0:01:31.73,ここの荒ぶるまりな好きすぎる,太喜欢这里狂暴的茉莉奈了
0:01:32.06,あの！？,那个！？
0:01:32.06,あの(皆さんご存知),那 个(众所周知)
0:01:32.56,あのってどのだよ,哪个那个啊
0:01:32.59,腐り始めた子,开始腐烂的孩子
